In Which Book Questions,Page #,Title,Author
In which book does a character struggle to open a door at a critical time?,103,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book is a window as invisable as a fly's wing?,104,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does water howl in pain?,106,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character smell like melted-flower?,106,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does someone's head feel full of stones?,111,Scary Stories for Young Foxes,Christian McKay Heidicker
"In which book does a character have a ""watercolor nightmare""?",112,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character feel disheartened that their mother couldn't help them when they needed her?,112,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a character squack like a bird after they accidentally drop a match?,118,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character purposefUly start a fire?,120,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does someone say that hiccups aren't contagious?,140,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book do two characters feast in slobbery silence?,146,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book a character help to clean another character when they have gotten dirty?,148,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character experience unkind treatment because of a disability?,148,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does someone talk faster than a tree full of chickadees?,155,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character long to find a long lost member of their immediate family?,159,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a solitary star glow strange and red in the sky?,164,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character encounter a bone-white bird with a black stripe on its eyes?,164,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character eat an egg gifted to him from another character?,166,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character's long legs save her from a dangerour moment?,195,Scary Stories for Young Foxes,Christian McKay Heidicker
"In which book does a character follow advice to ""stand with your side facing the enemy""?",197,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book is a character incredulous that a family member would try to hurt them?,198,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book are a character's wounds tended to by two other women characters?,202,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character experience a sense that something is amiss even though the characters around her are acting like everything is okay?,204,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character have to grow up faster than they should?,213,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character resist the affections of another character?,213,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does someone realize the screams filling their ears are coming from them?,223,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a deep echo wake the shadows of a cave?,236,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does an ankle swell to the size of an apple?,241,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character experience a long journey through blizzard conditions?,255,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a blizzard lash it's frozen claws across a valley?,259,Scary Stories for Young Foxes,Christian McKay Heidicker
"In Which Book does someone say ""Guess I'm stuck with you mewlers.""?",266,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does someone say they have a tongue-tied sister?,268,Scary Stories for Young Foxes,Christian McKay Heidicker
"In Which Book does someone use the endearing term ""my little cherubs""?",278,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character have to stand up to their Dad in a time of crisis?,287,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book is a character named after her great-great-great-great-aunt?,309,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a teacher give young characters advice they carry with them on their journey?,24 and others,Scary Stories for Young Foxes,Christian McKay Heidicker
