Content Questions,Page #,Answer
"In Marshmallow & Jordan, What is the name of the basketball coach?",10,Coach Prayogo
"In Marshmallow & Jordan, What is the name of the school?",13,Kahawaii Multicultural School
"In Marshmallow & Jordan, What is Lynn's older brother's name?",10,Hans
"In Marshmallow & Jordan, What does Jordan's mom do for work?",25,vet
"In Marshmallow & Jordan, What does Jordan use to help the elephant walk with it's injuried leg?",23,a broken scooter
"In Marshmallow & Jordan, Why do Jordan's friends think she is late to class and daydreaming instead of paying attention",74,they wrongly assume she has a new boyfriend
"In Marshmallow & Jordan, What two famous basketball players does Jordan have posters of on her wall?",88,Michael Jordan and Steph Curry
"In Marshmallow & Jordan, What kind of ice cream do Jordan and Marshmellow get?",108,Pineapple Cold Whip
"In Marshmallow & Jordan, What day is Jordan's suprise birthday party?",130,"Sunday, October 8th"
"In Marshmallow & Jordan, What does Jordan's dad say is the reason that they are picking up so much food at the market?",133,For Nenek's sewing club meeting
"In Marshmallow & Jordan, What does Jordan's basketball team give her for her birthday?",156,a Marshmellow basketball jersey
"In Marshmallow & Jordan, What is the name of the team captain for the water polo team?",164,Kemala
"In Marshmallow & Jordan, What is the name of the water polo coach?",175,Coach Ahmend
"In Marshmallow & Jordan, Who stays at the pool to draw pictures of Jordan in the water?",186,Paola
"In Marshmallow & Jordan, Who introduces Jordan to manga?",190,Paola
"In Marshmallow & Jordan, Why does Jordan miss the first basketball game?",200-205,she's at water polo practice
"In Marshmallow & Jordan, Where is Jordan when she overhears Kemala saying she is not good enough for the team?",225,the bathroom
"In Marshmallow & Jordan, What is the name of the team Jordan's water polo team plays against?",264,Cangu
"In Marshmallow & Jordan, Why does Jordan get a 20 second plenalty in her first water polo game?",274,pushing a girl underwater
"In Marshmallow & Jordan, Why is the school shutting down all of the aquatic facilities?",324,"the island is going through a severe drought, water conservation"
"In Marshmallow & Jordan, What mean name was Marshmellow teased with at home?",342,cry baby
"In Marshmallow & Jordan, What is Marshmellow's favorite ice cream flavor?",347,pineapple Cold Whip with extra coconut topping
"In Marshmallow & Jordan, What is the name of the ice cream stand?",320,Anita's
"In Marshmallow & Jordan, What country does the book take place in?",365,Indonesia
"In Marshmallow & Jordan, What Hindu god does Marshmellow resemble?",365,Airavata
"In Marshmallow & Jordan, How do you say Thank you in Indonesian?",367,Terima Kasih
"In Marshmallow & Jordan, How many of Indonesia's islands are inhabited?",371,Six thousand
"In Marshmallow & Jordan, how many seasons does indonesia have?",372,"two (hot and dry, and rainy monsoon)"
