Content Questions,Page #,Answer
"In The Mystwick School of Musicraft, What is the name of the chicken Amelia is trying to charm?",2,Rooter
"In The Mystwick School of Musicraft, How much does Mrs O'Grady pay Amelia for charming her chicken?",7,20 dollars
"In The Mystwick School of Musicraft, How old was Amelia when her Mom died?",11,four
"In The Mystwick School of Musicraft, When is Amelia Jones' birthday?",19,April 3rd
"In The Mystwick School of Musicraft, What was Amelia's audition number?",34,242
"In The Mystwick School of Musicraft, What is Amelia's Dad's name?",54,Eric
"In The Mystwick School of Musicraft, What was Amelia given aboard the zeppelin for motion sickness?",61,grape gum
"In The Mystwick School of Musicraft, In which city did the zeppelin pick up Jai?",67,London
"In The Mystwick School of Musicraft, Where does the zeppelin pick up Hana, the percussionist?",68,Kyoto
"In The Mystwick School of Musicraft, What does Jenkins buy for everyone when the zeppelin stops in Acapulco?",69,Tacos
"In The Mystwick School of Musicraft, Which 2 composers does Amelia spot statues of when she arrives at Mystwick?",75,Bach and Mozart
"In The Mystwick School of Musicraft, Who is the maestro of woodwinds?",82,Mr. Pinwhistle
"In The Mystwick School of Musicraft, Who is the maestro of percussion?",82,Miss Becker
"In The Mystwick School of Musicraft, How did the other Amelia Jones die?",85,She drowned
"In The Mystwick School of Musicraft, Which grade is Amelia Jones in?",96,7th
"In The Mystwick School of Musicraft, Who is Darby's roomate?",101,Amelia
"In The Mystwick School of Musicraft, What are the four types of spells (4 colors)?",130,"green, yellow, blue and white"
"In The Mystwick School of Musicraft, Which book is Amelia reading that she notices her Mom checked it out 7 times?",137,The Magic Flute
"In The Mystwick School of Musicraft, What was Amelia's Mom's name?",138,Susan Jones
"In The Mystwick School of Musicraft, What is the name of the school nurse?",157,Miss March
"In The Mystwick School of Musicraft, Who do Amelia and Darby think the ghost that is messing with Amelia is?",207,The other Amelia Jones
"In The Mystwick School of Musicraft, What is the name of the largest chain of spell stores in the world?",228,Spellstones
"In The Mystwick School of Musicraft, What is the name of the lake near the Mystwick School of Musicraft?",234,Orpheus Lake
"In The Mystwick School of Musicraft, What is the name of the musicat?",235,Wynk
"In The Mystwick School of Musicraft, What is the name of the high school rock band?",236,Rebel Clef
"In The Mystwick School of Musicraft, What color of lipstick does Rosa wear?",250,Apple red
"In The Mystwick School of Musicraft, During which school-wide game do Amelia and Darby decide to play their black spell?",252,Musical Zombies
"In The Mystwick School of Musicraft, Name two of the four Mystwick classes?",257,"Aeros, Percussos, Chordos and Labrosos"
"In The Mystwick School of Musicraft, What color of spell does Rosa really give Amelia and Darcy?",279,Yellow
"In The Mystwick School of Musicraft, How long of a detention do Amelia, Darcy and Jai get?",281,2 weeks
"In The Mystwick School of Musicraft, What's the name of the history teacher at Mystwick?",304,Mr Ahmed
"In The Mystwick School of Musicraft, At the end of the book, we discover the true identity of the ghost. Who is it?",316,Amelia's Mom
"In The Mystwick School of Musicraft, What is Amelia's real middle name?",334,Grace
"In The Mystwick School of Musicraft, When Amelia first redid her entrance test, which of the 4 maestro's voted for her?",348,Mr Pinwhistle
"In The Mystwick School of Musicraft, What did Amelia's Gran give her that belonged to Amelia's mother?",356,Her Maestro pin
"In The Mystwick School of Musicraft, How much did Mrs. Grady offer to pay Amelia for the chicken charm?",2,$5.00
"In The Mystwick School of Musicraft, How much does Mrs. Grady pay Amelia for the chicken charm?",7,$20.00
"In The Mystwick School of Musicraft, What song does the saxophonist play on the trolley?",16,"""Over the Rainbow"""
"In The Mystwick School of Musicraft, What is the name of the hotel where the auditions are held for the Mystwick School of Musicraft?",18,Hotel Rhapsody
"In The Mystwick School of Musicraft, What is the name of the most famous chain of music stores?",18,Spellstones
"In The Mystwick School of Musicraft, What is Amelia's audition #?",19,242
"In The Mystwick School of Musicraft, What type of spells are percussions known for?",25,energizing spells
"In The Mystwick School of Musicraft, At what age did Amelia find her mother's flute?",32,7
"In The Mystwick School of Musicraft, What two items are in front of Amelia during the audition?",37,acorn and soil
"In The Mystwick School of Musicraft, Who is the headmaestro of Mystwick School of Magicraft?",56,Euphonia Le Roux
"In The Mystwick School of Musicraft, 'What is the parrot's name who works on the zeppelin?",61,Captain
"In The Mystwick School of Musicraft, What is the name of the zeppelin used for travel?",63,Bumblebee
"In The Mystwick School of Musicraft, What flavor is the gum that Amelia chews to prevent motion sickness?",64,grape
"In The Mystwick School of Musicraft, What instrument does Miss Myra play?",65,organ
"In The Mystwick School of Musicraft, Who is picked up in Kyoto?",68,Hana
"In The Mystwick School of Musicraft, Who is the statue of that Jai stands on and plays air guitar?",76,Mozart
"In The Mystwick School of Musicraft, Where did the other Amelia Jones audition?",85,Los Angeles
"In The Mystwick School of Musicraft, Who is Amelia's senior captain?",96,Phoebe
"In The Mystwick School of Musicraft, Who is Amelia's roomate at the Mystwick School of Musicraft?",99,"Hamako Bradshaw, Darby"
"In The Mystwick School of Musicraft, In her first night at Mystwick School of Musicraft, when is Amelia woken up?",102,5:30 AM
"In The Mystwick School of Musicraft, How is Amelia's echo tree different from the other students' trees?",111,crooked
"In The Mystwick School of Musicraft, What color are bio spells or those that work on organisms?",130,green
"In The Mystwick School of Musicraft, What color are kinetic spells or those that can manipulate objects?",131,yellow
"In The Mystwick School of Musicraft, What color are elemental spells?",131,blue
"In The Mystwick School of Musicraft, What color are mental spells or those that can influence the mind?",131,white
"In The Mystwick School of Musicraft, What book did Susan Jones check out seven times?",137,The Magic Flute
"In The Mystwick School of Musicraft, What illusion spell are students asked to perform that is by Claude Debussy for conjuring light?",145,Reverie
"In The Mystwick School of Musicraft, After Amelia interrupts Jai's illusion test, what does she yell back to Mr. Pinwhistle as she walk away?",156,"""Worth It!"""
"In The Mystwick School of Musicraft, What is a nine-instrument piece called?",160,nonet
"In The Mystwick School of Musicraft, What is the first item the students find on top of the mountain?",176,a stick
"In The Mystwick School of Musicraft, Who do the students say is the devil's right-hand guy?",178,Necromuse
"In The Mystwick School of Musicraft, Who is the conductor on top of the mountain?",187,Darby
"In The Mystwick School of Musicraft, What word gets spelled on a whiteboard using magnetic music notes?",199,poser
"In The Mystwick School of Musicraft, What is forbidden to do at the Mystwick School of Musicraft?",210,black spells
"In The Mystwick School of Musicraft, What animal does Colin Brunnings get turned into after sitting at the wrong lunch table?",223,a hippo
"In The Mystwick School of Musicraft, Who is the daughter of Fernando Guerrera, the mogu who owns Spellstones?",228,Rosa
"In The Mystwick School of Musicraft, What color tights is Rosa wearing when Amelia first meets her?",228,black with silver stars
"In The Mystwick School of Musicraft, What tattoos does Rosa have on her neck?",228,music-notes
"In The Mystwick School of Musicraft, What is the first and last name of Amelia's father?",237,Eric Neal
"In The Mystwick School of Musicraft, What instrument does Mrs. Le Roux play to make the frogs come out of the air?",246,cello
"In The Mystwick School of Musicraft, What is painted on students' faces during the zombie game to signify that they are part of the Aero team?",259,red stripes
"In The Mystwick School of Musicraft, What spell do Darby, Jai, and Amelia attempt to try and talk with Amelia the ghost?",269,Dies Irae
"In The Mystwick School of Musicraft, How long do Darby, Jai, and Amelia get detention for after the musical zombies game?",281,two weeks
"In The Mystwick School of Musicraft, Who composed In the Hall of the Mountain King?",293,Edvard Grieg
"In The Mystwick School of Musicraft, What is the vote to expel Amelia from Mystwick School of Musicraft?",299,4 to 1
"In The Mystwick School of Musicraft, What does Amelia see outside of her window on Halloween night?",302,a tornado
"In The Mystwick School of Musicraft, Who actually was the ghost in Mystwick School of Musicraft?",316,Amelia's mom
