In Which Book Questions,Page #,Title,Author
In which book do people have to learn three facts about each other?,97,Candidly Cline,Kathryn Ormsbee
In which book are characters given instructions to learn three facts about each other to share with their class?,97,Candidly Cline,Kathryn Ormsbee
"In which book is a character as ""mad as a wet hen""?",99,Candidly Cline,Kathryn Ormsbee
"In which book does a character ask, ""Am I doing good for me?""",104,Candidly Cline,Kathryn Ormsbee
In which book does a charater write a love song to a slice of watermelon?,107,Candidly Cline,Kathryn Ormsbee
In which book does a character change the lyrics of ‘Always on My Mind’ to ‘Always on the Rind’?,107,Candidly Cline,Kathryn Ormsbee
In which book does a keychain fall off of someone's backpack?,111,Candidly Cline,Kathryn Ormsbee
In which book  is a character’s homework assignment to come up with an original song?,116,Candidly Cline,Kathryn Ormsbee
In which book does a character stare at a blank page for 15 minutes?,117,Candidly Cline,Kathryn Ormsbee
In which book does a character trip down the stairs at school and get a bloody nose?,119,Candidly Cline,Kathryn Ormsbee
In which book does a character have mostly brown eyes with green rings around the pupils?,120,Candidly Cline,Kathryn Ormsbee
In which book does a character suffer from migraines?,120,Candidly Cline,Kathryn Ormsbee
In which book do two characters smile while having a fight?,123,Candidly Cline,Kathryn Ormsbee
In which book does a character cut prescription pills in half to make them last longer?,136,Candidly Cline,Kathryn Ormsbee
In which book does someone lower the cost of a character's donepezil prescription by five dollars?,137,Candidly Cline,Kathryn Ormsbee
In which book is a character not allowed to get their ears pierced until they're 16?,144,Candidly Cline,Kathryn Ormsbee
In which book do kids bounce silver balloons like beach balls?,145,Candidly Cline,Kathryn Ormsbee
In which book does a character find a bone in their pulled pork sandwich?,146,Candidly Cline,Kathryn Ormsbee
In which book is a game called Romans and Christians played?,148,Candidly Cline,Kathryn Ormsbee
In which book does a character's gut burn like it's filled with sizzling acid?,155,Candidly Cline,Kathryn Ormsbee
"In which book does a character feel ""worse than day-old roadkill""?",160,Candidly Cline,Kathryn Ormsbee
"In which book does someone ask, ""Don't all Christians believe in the same God?""",171,Candidly Cline,Kathryn Ormsbee
In which book does a character drive a light pink sedan?,174,Candidly Cline,Kathryn Ormsbee
In which book is a character working on a cross-stitch of a pumpkin patch?,174,Candidly Cline,Kathryn Ormsbee
In which book does a character spend the weekend eating hummus and watching Netflix?,179,Candidly Cline,Kathryn Ormsbee
In which book is a character working on a science project about climate change and eating a plant-based diet?,180,Candidly Cline,Kathryn Ormsbee
"In which book does a character say ""a little subliminal Joplin never hurt anyone""?",186,Candidly Cline,Kathryn Ormsbee
In which book do characters audition for the Daylight Saving Bluegrass Festival?,189,Candidly Cline,Kathryn Ormsbee
In which book does a character have a little brown birthmark on their right knee?,192,Candidly Cline,Kathryn Ormsbee
"In which book does someone name an environmental campaign ""Not Milk""?",192,Candidly Cline,Kathryn Ormsbee
In which book is there a teacher named Mr. Flores?,198,Candidly Cline,Kathryn Ormsbee
In which book does a character transfer to New Hope Christian School?,198,Candidly Cline,Kathryn Ormsbee
In which book does a character's brain feel like a pan of scrambled eggs?,199,Candidly Cline,Kathryn Ormsbee
In which book does a character stare at someone like they're a two-headed chicken?,202,Candidly Cline,Kathryn Ormsbee
In which book does a character fall asleep with a sad sweet chorus in her head?,205,Candidly Cline,Kathryn Ormsbee
In which book does a character dot their letter i's with stars?,208,Candidly Cline,Kathryn Ormsbee
In which book does a character want another character to pay it forward one day?,209,Candidly Cline,Kathryn Ormsbee
In which book is a character given 200 dollars in severence pay?,209,Candidly Cline,Kathryn Ormsbee
In which book does a character wear Pretty in Peach lip gloss?,215,Candidly Cline,Kathryn Ormsbee
"In which book is a character's favorite cereal ""the expensive puffed chocolate kind""?",221,Candidly Cline,Kathryn Ormsbee
In which book does a character wear a red jean jacket and yellow cowgirl boots?,224,Candidly Cline,Kathryn Ormsbee
In which book does a character ask if they look like a broccoli stalk?,225,Candidly Cline,Kathryn Ormsbee
In which book does a character have a yellow rose tattoed on their arm?,234,Candidly Cline,Kathryn Ormsbee
"In which book does someone say, ""You're right, gardens suck""?",236,Candidly Cline,Kathryn Ormsbee
In which book does a character think they left on their electric curlers?,238,Candidly Cline,Kathryn Ormsbee
In which book does a character wear faded pink pajamas?,243,Candidly Cline,Kathryn Ormsbee
In which book does a character wish their body was a hot water bottle?,243,Candidly Cline,Kathryn Ormsbee
In which book does a character stand on the bottom step of the gazebo in Magnolia Square?,243,Candidly Cline,Kathryn Ormsbee
In which book does a character have to pay their parent's debts?,248,Candidly Cline,Kathryn Ormsbee
In which book does a character post on instagram that they enjoyed the autumn dance?,251,Candidly Cline,Kathryn Ormsbee
In which book does a character get special permission to make one phone call despite being grounded?,262,Candidly Cline,Kathryn Ormsbee
In which book does a vehicle make a shrieking sound and start hissing steam from under the hood?,268,Candidly Cline,Kathryn Ormsbee
In which book does a dad tell his kid that it's his job to embarrass them?,278,Candidly Cline,Kathryn Ormsbee
In which book does a younger sibling need to leave for a soccer game?,278,Candidly Cline,Kathryn Ormsbee
In which book do characters make a bottle of hyacinth perfume?,287,Candidly Cline,Kathryn Ormsbee
In which book does a character have a papier-mâché koala in their closet?,287,Candidly Cline,Kathryn Ormsbee
In which book does a character wear silver leggings that makes them look like a robot?,288,Candidly Cline,Kathryn Ormsbee
In which book does a character dress up as Emmylou Harris for Halloween ?,290,Candidly Cline,Kathryn Ormsbee
In which book does a character dress up at Joan Jett for Halloween?,293,Candidly Cline,Kathryn Ormsbee
In which book does a banner say 'Holidays on Main 74th Anniversary'?,297,Candidly Cline,Kathryn Ormsbee
In which book do two characters often have dance parties?,307,Candidly Cline,Kathryn Ormsbee
"In which book does a character say, ""But even if you're not sorry, I forgive you for that, too.""?",304-305,Candidly Cline,Kathryn Ormsbee
